perl-mailtools 2.22-3
perl-timedate 2.35-1
pi-coding-agent-bin 0.84.2-1
pinentry 1.3.3-1
pipewire 1:1.6.8-1
pipewire-alsa 1:1.6.8-1
pipewire-audio 1:1.6.8-1
pipewire-jack 1:1.6.8-1
pipewire-pulse 1:1.6.8-1
pipewire-session-manager 1:1.6.8-1
pixman 0.46.4-1
pkgconf 3.0.5-1
polkit 127-3
poppler 26.08.0-1
poppler-glib 26.08.0-1
popt 1.19-2
portaudio 1:19.7.0-4
potrace 1.16-5
power-profiles-daemon 0.30-1
ppp 2.5.3-1
procps-ng 4.0.7-1
protobuf 35.1-2
psmisc 23.7-2
pulseaudio-qt 1.8.1-1
python 3.14.7-1
python-charset-normalizer 3.4.7-1
python-defusedxml 0.7.1-8
python-lxml 6.1.2_1-1
python-packaging 26.3-1
python-pillow 12.3.0-1
python-reportlab 5.0.0-1
qca-qt6 2.3.10-8
qqc2-desktop-style 6.29.0-2
qt6-5compat 6.11.2-1
qt6-base 6.11.2-2
qt6-connectivity 6.11.2-1
qt6-declarative 6.11.2-1
qt6-multimedia 6.11.2-1
qt6-multimedia-ffmpeg 6.11.2-1
qt6-shadertools 6.11.2-1
qt6-svg 6.11.2-1
qt6-translations 6.11.2-1
qt6-wayland 6.11.2-1
quickshell 0.3.1-1
raptor 2.0.16-9
rasqal 1:0.9.33-9
rav1e 0.8.1-3
readline 8.3.003-1
redland 1:1.0.17-10
rhash 1.4.6-1
ripgrep 15.2.0-1
rpm-sequoia 1.10.2-2
rpm-tools 6.0.1-2
rubberband 4.0.0-2
rustup 1.29.0-2
s2n-tls 1.7.2-1
sbc 2.2-1
sbctl 0.18-2
sdl2-compat 2.32.70-1
sdl3 3.4.14-1
seatd 0.9.3-1
sed 4.10-2
semver 7.8.5-1
serd 0.32.10-1
sesh-bin 2.28.0-1
sesh-bin-debug 2.28.0-1
shaderc 2026.3-1
shadow 4.20.0.arch1-1
shared-mime-info 2.5.1-2
simdjson 1:4.6.8-1
slang 2.3.3-4
snap-pac 3.0.1-3
snapper 0.13.1-3
snappy 1.2.2-3
sndio 1.10.0-1
solid 6.29.0-1
sonnet 6.29.0-1
sord 0.16.22-1
sound-theme-freedesktop 0.8-6
source-highlight 3.1.9-19
spandsp 0.0.6-7
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.357.0-1
sqlite 3.53.4-1
sratom 0.6.22-1
srt 1.5.6-1
starship 1.26.0-1
stow 2.4.1-1
sudo 1.9.17.p2-6
svt-av1 4.2.0-1
systemd 261.2-1
systemd-libs 261.2-1
systemd-sysvcompat 261.2-1
taglib 2.3.1-1
tar 1.35-5
tdb 1.4.15-1
telegram-desktop-bin 7.1.1-1
telegram-desktop-bin-debug 7.1.1-1
television 0.15.9-1
texinfo 7.3-1
thorium-browser-avx2-bin 138.0.7204.303-2
thorium-browser-avx2-bin-debug 138.0.7204.303-2
tinysparql 3.11.1-1
tmux 3.7_c-1
totem-pl-parser 3.26.7-1
tpm2-tools 5.8-1
tpm2-tss 4.2.0-2
tree 2.3.2-1
tree-sitter 0.26.9-1
tree-sitter-c 0.24.1-2
tree-sitter-cli 0.26.9-1
tree-sitter-lua 0.5.0-3
tree-sitter-markdown 0.5.3-2
tree-sitter-query 0.8.0-2
tree-sitter-vim 0.8.1-3
tree-sitter-vimdoc 4.1.0-2
tslib 1.24-1
ttf-cascadia-code-nerd 3.5.1-2
ttf-cascadia-mono-nerd 3.5.1-2
ttf-iosevkaterm-nerd 3.5.1-2
ttf-jetbrains-mono 2.304-2
ttf-jetbrains-mono-nerd 3.5.1-2
ttf-roboto 3.015-1
ttf-symbola 14.00-2
twolame 0.4.0-4
tzdata 2026c-1
uchardet 0.0.8-4
udisks2 2.11.2-1
unibilium 2.1.2-1
unzip 6.0-23
upower 1.91.3-1
util-linux 2.42.2-1
util-linux-libs 2.42.2-1
v4l-utils 1.32.0-2
vapoursynth 77-2
vid.stab 1.1.1-3
vim 9.2.0849-1
vim-runtime 9.2.0849-1
vmaf 3.2.0-1
volume_key 0.3.12-12
vulkan-icd-loader 1.4.357.0-1
wasi-compiler-rt 22.1.0-2
wasi-libc 1:0+592+161b3195-1
wasi-libc++ 22.1.0-1
wasi-libc++abi 22.1.0-1
wavpack 5.9.0-1
wayland 1.26.0-1
webrtc-audio-processing-1 1.3-5
wezterm 20240203.110809.5046fc22.r869.g76b606ec5-2
whatsapp-linux-desktop-bin 1.0.1-1
whatsapp-linux-desktop-bin-debug 1.0.1-1
which 2.25-1
wildmidi 0.5.0-1
wireplumber 0.5.15-1
wl-clipboard 1:2.3.0-1
woff2 1.0.2-6
wpa_supplicant 2:2.12-1
x264 3:0.165.r3222.b35605a-2
x265 4.3-1
xcb-proto 1.17.0-4
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xdg-desktop-portal 1.22.1-2
xdg-desktop-portal-gnome 50.0-1
xdg-desktop-portal-gtk 1.15.3-1
xdg-user-dirs 0.20-1
xdg-user-dirs-gtk 0.16-1
xdg-utils 1.2.1-2
xkeyboard-config 2.48-1
xmlsec 1.3.12-1
xorg-fonts-encodings 1.1.0-2
xorg-server-common 21.1.24-1
xorg-server-xvfb 21.1.24-1
xorg-setxkbmap 1.3.5-1
xorg-xauth 1.1.5-1
xorg-xkbcomp 1.5.0-1
xorg-xprop 1.2.8-1
xorg-xwayland 24.1.13-1
xorgproto 2025.1-1
xvidcore 1.3.7-4
xwayland-satellite 0.8.2-1
xxhash 0.8.3-1
xz 5.8.3-1
